count,title,dept_name
38816,Senior Engineer,Development
33625,Senior Engineer,Production
28797,Senior Staff,Sales
14040,Engineer,Development
12081,Engineer,Production
11290,Senior Staff,Marketing
11268,Senior Staff,Customer Service
9824,Senior Staff,Human Resources
9545,Senior Staff,Finance
9458,Senior Engineer,Quality Management
9092,Senior Staff,Research
8903,Staff,Sales
5477,Technique Leader,Development
4723,Technique Leader,Production
3574,Staff,Customer Service
3551,Staff,Marketing
3405,Engineer,Quality Management
3073,Staff,Human Resources
2891,Staff,Finance
2870,Staff,Research
2250,Senior Engineer,Research
1790,Senior Engineer,Customer Service
1652,Assistant Engineer,Development
1402,Assistant Engineer,Production
1293,Technique Leader,Quality Management
1123,Senior Staff,Production
1085,Senior Staff,Development
830,Engineer,Research
627,Engineer,Customer Service
389,Assistant Engineer,Quality Management
349,Staff,Production
321,Technique Leader,Research
315,Staff,Development
241,Technique Leader,Customer Service
77,Assistant Engineer,Research
68,Assistant Engineer,Customer Service
1,Manager,Finance
1,Manager,Marketing
1,Manager,Production
1,Manager,Customer Service
1,Manager,Development
1,Manager,Quality Management
1,Manager,Research
1,Manager,Sales
1,Manager,Human Resources
